"Gene","Direction"
"23369_at","DOWN"
"550_at","UP"
"23208_at","UP"
"60626_at","UP"
"27242_at","UP"
"7700_at","DOWN"
"8772_at","UP"
"161_at","UP"
"81572_at","UP"
"23435_at","DOWN"
"10847_at","UP"
"137964_at","UP"
"572_at","UP"
"7840_at","DOWN"
"7701_at","UP"
"359948_at","DOWN"
"81622_at","UP"
"101929095_at","DOWN"
"54985_at","UP"
"408263_at","DOWN"
"10423_at","UP"
"55544_at","UP"
"10025_at","UP"
"54958_at","UP"
"117531_at","DOWN"
"2011_at","UP"
"780_at","UP"
"115098_at","UP"
"2841_at","DOWN"
"7704_at","DOWN"
"396_at","UP"
"11253_at","UP"
"10927_at","DOWN"
"406997_at","DOWN"
"27351_at","UP"
"11316_at","UP"
"55343_at","UP"
"85389_at","DOWN"
"4929_at","DOWN"
"677801_at","DOWN"
"10296_at","UP"
"400410_at","DOWN"
"29108_at","UP"
"81839_at","UP"
"25870_at","UP"
"8666_at","UP"
"9392_at","UP"
"5025_at","UP"
"126074_at","UP"
"64855_at","UP"
"2070_at","DOWN"
"693209_at","DOWN"
"65975_at","DOWN"
"5986_at","UP"
"340481_at","DOWN"
"126393_at","UP"
"692063_at","DOWN"
"100873770_at","DOWN"
"666_at","UP"
"9640_at","UP"
"54674_at","DOWN"
"6873_at","DOWN"
"84059_at","DOWN"
"54464_at","DOWN"
"646201_at","DOWN"
"51303_at","UP"
"80144_at","DOWN"
"84629_at","UP"
"9294_at","UP"
"254531_at","UP"
"9409_at","UP"
"58475_at","UP"
"101954267_at","DOWN"
"51293_at","UP"
"100033431_at","DOWN"
"115207_at","UP"
"442920_at","UP"
"130507_at","DOWN"
"10735_at","DOWN"
"55697_at","UP"
"3183_at","DOWN"
"152002_at","UP"
"9454_at","UP"
"1650_at","UP"
"56928_at","UP"
"1106_at","DOWN"
"390066_at","DOWN"
"81857_at","UP"
"100130889_at","DOWN"
"84858_at","UP"
"114789_at","DOWN"
"100124516_at","DOWN"
"101929709_at","DOWN"
"23033_at","DOWN"
"10999_at","UP"
"100507381_at","DOWN"
"55009_at","UP"
"101929517_at","DOWN"
"57222_at","UP"
"100873779_at","DOWN"
"949_at","UP"
"9852_at","DOWN"
"57655_at","UP"
"6434_at","DOWN"
"10211_at","UP"
"283970_at","DOWN"
"26586_at","UP"
"90780_at","UP"
"63982_at","DOWN"
"29103_at","UP"
"9091_at","UP"
"51175_at","DOWN"
"90139_at","UP"
"541466_at","UP"
"93663_at","DOWN"
"79882_at","DOWN"
"259295_at","DOWN"
"5878_at","UP"
"83855_at","UP"
"7305_at","UP"
"23476_at","UP"
"51228_at","UP"
"4811_at","UP"
"79016_at","UP"
"56899_at","DOWN"
"10548_at","UP"
"5331_at","UP"
"407032_at","DOWN"
"5926_at","DOWN"
"87_at","UP"
"200316_at","UP"
"101928062_at","DOWN"
"10645_at","UP"
"100507299_at","DOWN"
"23246_at","UP"
"6829_at","UP"
"26775_at","DOWN"
"116151_at","UP"
"1173_at","UP"
"51284_at","UP"
"11021_at","UP"
"22852_at","DOWN"
"3838_at","UP"
"780854_at","DOWN"
"2997_at","UP"
"54785_at","UP"
"2539_at","UP"
"130749_at","DOWN"
"677805_at","DOWN"
"100500802_at","DOWN"
"245711_at","DOWN"
"80303_at","UP"
"7507_at","DOWN"
"100033438_at","DOWN"
"5925_at","UP"
"90121_at","UP"
"4548_at","DOWN"
"84726_at","UP"
"80790_at","UP"
"9130_at","UP"
"6609_at","UP"
"574040_at","DOWN"
"100287497_at","DOWN"
"27297_at","UP"
"101928769_at","DOWN"
"51545_at","UP"
"22836_at","DOWN"
"58485_at","UP"
"102723744_at","DOWN"
"1398_at","UP"
"158160_at","DOWN"
"340811_at","DOWN"
"4245_at","UP"
"1845_at","UP"
"26015_at","UP"
"100628315_at","DOWN"
"65992_at","UP"
"166968_at","DOWN"
"10140_at","DOWN"
"284018_at","UP"
"100500876_at","DOWN"
"253769_at","DOWN"
"150737_at","UP"
"404093_at","UP"
"50836_at","DOWN"
"29855_at","UP"
"55361_at","UP"
"79102_at","UP"
"64601_at","UP"
"7153_at","UP"
"9984_at","DOWN"
"64771_at","UP"
"156_at","UP"
"4321_at","DOWN"
"388552_at","UP"
"100033820_at","DOWN"
"83442_at","UP"
"22808_at","UP"
"9144_at","UP"
"64847_at","UP"
"170954_at","UP"
"80331_at","UP"
"55626_at","UP"
"337875_at","UP"
"79087_at","UP"
"7343_at","UP"
"5289_at","DOWN"
"195827_at","UP"
"25792_at","UP"
"10980_at","UP"
"63905_at","UP"
"10868_at","UP"
"55080_at","UP"
"54901_at","DOWN"
"400360_at","DOWN"
"23224_at","DOWN"
"4296_at","UP"
"5604_at","UP"
"64901_at","DOWN"
"57104_at","UP"
"4649_at","DOWN"
"6095_at","DOWN"
"157680_at","DOWN"
"4313_at","UP"
"112464_at","UP"
"4783_at","DOWN"
"165_at","UP"
"6282_at","UP"
"5876_at","DOWN"
"10544_at","UP"
"9761_at","UP"
"10417_at","UP"
"100132352_at","DOWN"
"23299_at","UP"
"84926_at","UP"
"4055_at","UP"
"114799_at","DOWN"
"1889_at","UP"
"389_at","UP"
"6720_at","UP"
"8636_at","UP"
"100507520_at","DOWN"
"151636_at","UP"
"594837_at","DOWN"
"114327_at","DOWN"
"374618_at","DOWN"
"200942_at","UP"
"84164_at","UP"
"25998_at","DOWN"
"128486_at","UP"
"399687_at","UP"
"23381_at","UP"
"376940_at","DOWN"
"2744_at","DOWN"
"8570_at","UP"
"4668_at","UP"
"79724_at","UP"
"199223_at","DOWN"
"692199_at","DOWN"
"148696_at","DOWN"
"79709_at","UP"
"644656_at","DOWN"
"7456_at","UP"
"102724484_at","DOWN"
"407007_at","DOWN"
"54964_at","UP"
"27158_at","UP"
"23154_at","UP"
"24147_at","UP"
"101929385_at","DOWN"
"100996307_at","DOWN"
"65117_at","DOWN"
"27339_at","UP"
"7345_at","UP"
"55506_at","UP"
"29984_at","UP"
"100507113_at","DOWN"
"11100_at","UP"
"2870_at","UP"
"116071_at","UP"
"100616491_at","DOWN"
"23211_at","UP"
"101410538_at","UP"
"200186_at","UP"
"767594_at","DOWN"
"100126320_at","DOWN"
"25_at","UP"
"735_at","DOWN"
"3304_at","DOWN"
"285033_at","UP"
"83637_at","UP"
"55738_at","UP"
"55015_at","DOWN"
"29800_at","UP"
"693230_at","DOWN"
"10437_at","UP"
"79741_at","DOWN"
"643036_at","DOWN"
"26805_at","DOWN"
"8694_at","UP"
"401115_at","UP"
"51602_at","DOWN"
"102724508_at","DOWN"
"101927031_at","DOWN"
"26017_at","UP"
"6432_at","DOWN"
"51690_at","UP"
"9497_at","DOWN"
"57579_at","DOWN"
"28962_at","UP"
"55159_at","UP"
"100507267_at","DOWN"
"23654_at","UP"
"100873765_at","DOWN"
"23753_at","UP"
"9931_at","DOWN"
"85379_at","UP"
"692075_at","DOWN"
"10572_at","UP"
"55110_at","DOWN"
"4298_at","UP"
"10180_at","DOWN"
"100505768_at","DOWN"
"147179_at","UP"
"91304_at","UP"
"619569_at","DOWN"
"115111_at","DOWN"
"100616325_at","DOWN"
"6813_at","UP"
"203_at","UP"
"101929162_at","DOWN"
"100303749_at","DOWN"
"25797_at","UP"
"7805_at","UP"
"196792_at","DOWN"
"64319_at","UP"
"54806_at","DOWN"
"1476_at","UP"
"246777_at","UP"
"79650_at","UP"
"25914_at","DOWN"
"100507567_at","UP"
"1284_at","UP"
"23125_at","UP"
"10981_at","UP"
"8907_at","UP"
"26504_at","UP"
"6874_at","UP"
"6199_at","UP"
"11156_at","UP"
"284541_at","DOWN"
"102723403_at","DOWN"
"253018_at","DOWN"
"6305_at","UP"
"83986_at","UP"
"100302273_at","DOWN"
"3654_at","UP"
"23262_at","DOWN"
"100874212_at","DOWN"
"729515_at","UP"
"65065_at","DOWN"
"9797_at","UP"
"60681_at","UP"
"8407_at","UP"
"28956_at","UP"
"26469_at","UP"
"339977_at","DOWN"
"5585_at","UP"
"9158_at","UP"
"26099_at","UP"
"100874253_at","DOWN"
"51160_at","UP"
"23396_at","UP"
"26822_at","DOWN"
"23400_at","UP"
"9782_at","DOWN"
"9578_at","UP"
"208_at","UP"
"4323_at","UP"
"101929115_at","DOWN"
"11334_at","UP"
"6448_at","UP"
"84765_at","DOWN"
"55577_at","UP"
"100874204_at","DOWN"
"84146_at","DOWN"
"2067_at","UP"
"102724422_at","DOWN"
"728655_at","DOWN"
"23304_at","DOWN"
"57215_at","UP"
"4069_at","UP"
"81669_at","DOWN"
"54512_at","UP"
"84447_at","UP"
"23214_at","UP"
"22980_at","UP"
"102723590_at","DOWN"
"79039_at","UP"
"124808_at","UP"
"692085_at","DOWN"
"960_at","UP"
"29844_at","UP"
"693229_at","DOWN"
"26173_at","UP"
"5932_at","DOWN"
"81698_at","DOWN"
"284900_at","DOWN"
"4324_at","UP"
"1950_at","DOWN"
"102723877_at","DOWN"
"26784_at","DOWN"
"5287_at","UP"
"57228_at","UP"
"122773_at","DOWN"
"30000_at","UP"
"29095_at","UP"
"339201_at","UP"
"55122_at","UP"
"7837_at","UP"
"374291_at","UP"
"137872_at","DOWN"
"55643_at","UP"
"8764_at","UP"
"5971_at","UP"
"8085_at","UP"
"3570_at","DOWN"
"65072_at","DOWN"
"8884_at","UP"
"1660_at","DOWN"
"85451_at","UP"
"3460_at","UP"
"11338_at","UP"
"6079_at","DOWN"
"26090_at","UP"
"348262_at","UP"
"3455_at","UP"
"79101_at","DOWN"
"90529_at","UP"
"124491_at","UP"
"5775_at","DOWN"
"84975_at","UP"
"6881_at","UP"
"7326_at","UP"
"11141_at","DOWN"
"100507495_at","DOWN"
"972_at","UP"
"100874313_at","DOWN"
"84292_at","UP"
"5431_at","DOWN"
"101928461_at","DOWN"
"11230_at","UP"
"647087_at","UP"
"49854_at","DOWN"
"57804_at","UP"
"50832_at","DOWN"
"196441_at","DOWN"
"55624_at","UP"
"3217_at","UP"
"55614_at","DOWN"
"23558_at","UP"
"9807_at","UP"
"54407_at","DOWN"
"84937_at","UP"
"3159_at","UP"
"677812_at","DOWN"
"4660_at","DOWN"
"3839_at","UP"
"1455_at","UP"
"780853_at","DOWN"
"9342_at","UP"
"6836_at","UP"
"65267_at","DOWN"
"693166_at","DOWN"
"23163_at","UP"
"85459_at","DOWN"
"219972_at","UP"
"5479_at","UP"
"6281_at","UP"
"54795_at","UP"
"9270_at","UP"
"648740_at","DOWN"
"55780_at","DOWN"
"23636_at","UP"
"162655_at","DOWN"
"54941_at","UP"
"84197_at","UP"
"5903_at","DOWN"
"84883_at","UP"
"79792_at","UP"
"337971_at","DOWN"
