"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"100505929_at",NA,1.82844308166667,NA,NA,NA,NA
"100505933_at",NA,4.33205734826667,NA,NA,NA,NA
"100505938_at",NA,3.97983251913333,NA,NA,NA,NA
"100505942_at",NA,5.28948613686667,NA,NA,NA,NA
"100505946_at",NA,4.8211106904,NA,NA,NA,NA
"100505964_at",NA,2.56921368473333,NA,NA,NA,NA
"100505967_at",NA,1.9750193626,NA,NA,NA,NA
"100505975_at",NA,3.54855387613333,NA,NA,NA,NA
"100505978_at",NA,3.7247768554,NA,NA,NA,NA
"100505983_at",NA,3.32694449413333,NA,NA,NA,NA
"100505984_at",NA,4.93610757386667,NA,NA,NA,NA
"100505985_at",NA,2.12627538133333,NA,NA,NA,NA
"100505989_at",NA,2.276479978,NA,NA,NA,NA
"100506012_at",NA,1.75692326706667,NA,NA,NA,NA
"100506013_at",NA,1.74244988866667,NA,NA,NA,NA
"100506014_at",NA,7.9521178186,NA,NA,NA,NA
"100506016_at",NA,1.9165968522,NA,NA,NA,NA
"100506025_at",NA,1.85806306513333,NA,NA,NA,NA
"100506046_at",NA,4.24087632806667,NA,NA,NA,NA
"100506047_at",NA,2.3895909744,NA,NA,NA,NA
"100506049_at",NA,2.57238321013333,NA,NA,NA,NA
"100506054_at",NA,8.4646673626,NA,NA,NA,NA
"100506068_at",NA,2.1402149446,NA,NA,NA,NA
"100506070_at",NA,2.5050543624,NA,NA,NA,NA
"100506071_at",NA,2.55219943766667,NA,NA,NA,NA
"100506082_at",NA,2.7047143816,NA,NA,NA,NA
"100506083_at",NA,4.1448427068,NA,NA,NA,NA
"100506088_at",NA,3.80070797306667,NA,NA,NA,NA
"100506098_at",NA,5.6246759848,NA,NA,NA,NA
"100506100_at",NA,7.49230576306667,NA,NA,NA,NA
"100506102_at",NA,2.3343310224,NA,NA,NA,NA
"100506107_at",NA,1.95515951213333,NA,NA,NA,NA
"100506108_at",NA,2.2222836812,NA,NA,NA,NA
"100506113_at",NA,3.19939659013333,NA,NA,NA,NA
"100506119_at",NA,7.0388866254,NA,NA,NA,NA
"100506122_at",NA,2.21088625886667,NA,NA,NA,NA
"100506124_at",NA,4.39992750313333,NA,NA,NA,NA
"100506125_at",NA,4.40556669686667,NA,NA,NA,NA
"100506126_at",NA,1.95021401426667,NA,NA,NA,NA
"100506144_at",NA,8.82609828553333,NA,NA,NA,NA
"100506161_at",NA,5.5701925424,NA,NA,NA,NA
"100506172_at",NA,1.70433665753333,NA,NA,NA,NA
"100506175_at",NA,3.41254345306667,NA,NA,NA,NA
"100506190_at",NA,6.90731511906667,NA,NA,NA,NA
"100506195_at",NA,1.84235868726667,NA,NA,NA,NA
"100506207_at",NA,2.03611279226667,NA,NA,NA,NA
