"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe","Entrez","Gene"
-2.34846060354441,4.45227836089796,-6.85028982058712,6.2041818630634e-10,2.00905544836567e-07,12.3888350627492,"692108_at","692108","SNORD67"
-1.15396937761233,1.43563246015306,-6.84433626773699,6.38205015838573e-10,2.0408200893978e-07,12.3618277463201,"26804_at","26804","SNORD45B"
-1.78514971321944,4.99915046409184,-6.83665761990583,6.61893057576969e-10,2.05394550759578e-07,12.327006523574,"100775107_at","100775107","RBM5-AS1"
-0.873203368995821,1.79959603841837,-6.83571182743956,6.64870317158252e-10,2.05394550759578e-07,12.3227184469801,"643376_at","643376","BTBD18"
-1.22351902647858,9.11712576016327,-6.83498419110332,6.67169863824192e-10,2.05394550759578e-07,12.3194195931847,"283131_at","283131","NEAT1"
-1.58682622168548,1.6195677490102,-6.8327046220328,6.74425074810591e-10,2.05394550759578e-07,12.3090855782103,"100500880_at","100500880","MIR3662"
0.62802909369697,8.01496803879592,6.80878752243652,7.55416993632169e-10,2.27353853307037e-07,12.2007324120073,"1471_at","1471","CST3"
-0.806537055793107,4.40402131573469,-6.79947440747992,7.89496593378785e-10,2.3484769595135e-07,12.1585757301989,"5144_at","5144","PDE4D"
-0.96132350864786,1.74391088912245,-6.79540834279216,8.04848753638405e-10,2.36662538110088e-07,12.1401765206394,"399670_at","399670","RPL13AP17"
0.72511384671787,4.61523763843878,6.79104590251992,8.21648606311488e-10,2.38856984621142e-07,12.1204404019899,"10908_at","10908","PNPLA6"
-0.777006260787879,6.15631786312245,-6.78808355697515,8.33254065784557e-10,2.39509050684276e-07,12.1070409417134,"1105_at","1105","CHD1"
-1.98490426849112,3.77501699585714,-6.77060513073974,9.05106387476712e-10,2.57271462271436e-07,12.0280226148503,"116828_at","116828","N4BP2L2-IT2"
0.819544540343783,5.01940884294898,6.76273473144104,9.39431524618296e-10,2.64093816074563e-07,11.992464358918,"124245_at","124245","ZC3H18"
-0.806397800353191,6.40656683873469,-6.75483829985147,9.75164400591347e-10,2.70760384803836e-07,11.9568029710527,"9774_at","9774","BCLAF1"
-1.87946332897597,4.27098884369388,-6.75286246566175,9.84313806065074e-10,2.70760384803836e-07,11.9478821031809,"100131564_at","100131564","CCDC18-AS1"
-1.54208976516614,3.98210240271429,-6.73999431903212,1.04601518117335e-09,2.84671918774219e-07,11.8898049362257,"130872_at","130872","AHSA2P"
-2.66692984355173,4.00435281060204,-6.72362932091745,1.13003876587737e-09,3.04301596933419e-07,11.8160018890229,"4489_at","4489","MT1A"
-1.42401049923093,5.98952371185714,-6.69053769758628,1.32087456491846e-09,3.51985553330668e-07,11.6669593932017,"55599_at","55599","RNPC3"
-1.99179103704285,8.13199924893878,-6.66447965930295,1.49329559861481e-09,3.92567126993966e-07,11.5497810439126,"5166_at","5166","PDK4"
-0.757886886483805,10.6482385706633,-6.66292203611977,1.50427973450155e-09,3.92567126993966e-07,11.5427819122188,"378938_at","378938","MALAT1"
1.27832729703135,5.1652363757449,6.6552589382361,1.5594933440125e-09,3.92567126993966e-07,11.5083566435693,"493812_at","493812","HCG11"
-0.678014863326017,6.91780200545918,-6.65494868693321,1.56177046903837e-09,3.92567126993966e-07,11.5069631905277,"5411_at","5411","PNN"
-1.55982758635946,2.17831009163265,-6.65485406121639,1.562465639552e-09,3.92567126993966e-07,11.5065381962189,"101927217_at","101927217","LINC01473"
-1.96637683704598,3.53729321237755,-6.65447748478796,1.56523520261842e-09,3.92567126993966e-07,11.5048468929577,"100874241_at","100874241","STARD13-AS"
-1.31870687759457,2.17343182559184,-6.64482117510062,1.63793563349461e-09,4.06812324039408e-07,11.4614897582834,"145624_at","145624","PWAR1"
-1.06936874212331,2.9654776074898,-6.63681264586499,1.70075578276859e-09,4.18353215719097e-07,11.4255486037923,"158257_at","158257","LINC02603"
